yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,year_team_ID
1987,NL,CIN,CIN,W,2,162,81,84,78,N,,N,N,783,5560,1478,262,29,192,514,928,169,46,,,752,684,4.24,7,6,44,4356,1486,170,485,919,128,137,0.97,Cincinnati Reds,Riverfront Stadium,2185205,104,103,CIN,CIN,CIN,1987_CIN
1987,AL,CLE,CLE,E,7,162,81,61,101,N,,N,N,742,5606,1476,267,30,187,489,977,140,54,,,957,834,5.28,24,8,25,4266,1566,219,606,849,152,128,0.97,Cleveland Indians,Cleveland Stadium,1077898,100,101,CLE,CLE,CLE,1987_CLE
1987,AL,DET,DET,E,1,162,81,98,64,Y,,N,N,896,5649,1535,274,32,225,653,913,106,50,,,735,650,4.02,33,10,31,4368,1430,180,563,976,122,147,0.98,Detroit Tigers,Tiger Stadium,2061830,96,95,DET,DET,DET,1987_DET
1987,NL,HOU,HOU,W,3,162,81,76,86,N,,N,N,648,5485,1386,238,28,122,526,936,162,46,,,678,615,3.84,13,13,33,4323,1363,141,525,1137,115,113,0.98,Houston Astros,Astrodome,1909902,96,96,HOU,HOU,HOU,1987_HOU
1987,AL,KCA,KCR,W,2,162,81,83,79,N,,N,N,715,5499,1443,239,40,168,523,1034,125,43,,,691,611,3.86,44,11,26,4272,1424,128,548,923,131,151,0.97,Kansas City Royals,Royals Stadium,2392471,102,102,KCR,KCA,KCA,1987_KCA
1987,NL,LAN,LAD,W,4,162,81,73,89,N,,N,N,635,5517,1389,236,23,125,445,923,128,59,,,675,601,3.72,29,8,32,4365,1415,130,565,1097,155,144,0.97,Los Angeles Dodgers,Dodger Stadium,2797409,98,98,LAD,LAN,LAN,1987_LAN
1987,AL,MIN,MIN,W,1,162,81,85,77,Y,,Y,Y,786,5441,1422,258,35,196,523,898,113,65,,,806,734,4.63,16,4,39,4281,1465,210,564,990,98,147,0.98,Minnesota Twins,Hubert H Humphrey Metrodome,2081976,103,103,MIN,MIN,MIN,1987_MIN
1987,AL,ML4,MIL,E,3,162,81,91,71,N,,N,N,862,5625,1552,272,46,163,598,1040,176,74,,,817,752,4.62,28,6,45,4392,1548,169,529,1039,145,155,0.97,Milwaukee Brewers,County Stadium,1909244,103,103,MIL,MIL,MIL,1987_ML4
1987,NL,MON,WSN,E,3,162,81,91,71,N,,N,N,741,5527,1467,310,39,120,501,918,166,74,,,720,632,3.92,16,8,50,4350,1428,145,446,1012,147,122,0.97,Montreal Expos,Stade Olympique,1850324,103,103,MON,MON,MON,1987_MON
1987,AL,NYA,NYY,E,4,162,81,89,73,N,,N,N,788,5511,1445,239,16,196,604,949,105,43,,,758,701,4.36,19,10,47,4338,1475,179,542,900,102,155,0.98,New York Yankees,Yankee Stadium II,2427672,99,99,NYY,NYA,NYA,1987_NYA
